lr,raw_loss,smooth_loss
2.18776162e-05,7.025187,11.153514
2.29086765e-05,6.800389,11.057804
2.39883292e-05,6.765580,10.963621
2.51188643e-05,6.403337,10.863750
2.63026799e-05,6.229246,10.762446
2.75422870e-05,5.935522,10.657131
2.88403150e-05,5.857985,10.552613
3.01995172e-05,5.454231,10.441775
3.16227766e-05,5.285728,10.329878
3.31131121e-05,5.071220,10.215948
3.46736850e-05,4.986208,10.102833
3.63078055e-05,4.659787,9.985295
3.80189396e-05,4.549630,9.868104
3.98107171e-05,4.187037,9.745813
4.16869383e-05,4.085135,9.624146
4.36515832e-05,3.838278,9.499974
4.57088190e-05,3.657683,9.374775
4.78630092e-05,3.478847,9.248606
5.01187234e-05,3.289238,9.121257
5.24807460e-05,3.254473,8.996059
5.49540874e-05,2.902531,8.866196
5.75439937e-05,2.848166,8.738110
6.02559586e-05,2.704631,8.609860
6.30957344e-05,2.576152,8.481765
6.60693448e-05,2.448761,8.353843
6.91830971e-05,2.503245,8.229938
7.24435960e-05,2.113444,8.100554
7.58577575e-05,2.253543,7.977013
7.94328235e-05,1.950051,7.849814
8.31763771e-05,1.919605,7.724795
8.70963590e-05,1.910041,7.602342
9.12010839e-05,1.750790,7.479244
9.54992586e-05,1.694030,7.357668
1.00000000e-04,1.677518,7.238421
1.04712855e-04,1.711405,7.122504
1.09647820e-04,1.654107,7.007928
1.14815362e-04,1.518605,6.893023
1.20226443e-04,1.523872,6.780738
1.25892541e-04,1.409729,6.668517
1.31825674e-04,1.496307,6.560546
1.38038426e-04,1.356900,6.452013
1.44543977e-04,1.408578,6.346913
1.51356125e-04,1.611486,6.248313
1.58489319e-04,1.195918,6.143200
1.65958691e-04,1.252219,6.041528
1.73780083e-04,1.332908,5.943723
1.81970086e-04,1.421628,5.849864
1.90546072e-04,1.305869,5.755623
1.99526231e-04,1.411935,5.665602
2.08929613e-04,1.373662,5.576719
2.18776162e-04,1.166050,5.485441
2.29086765e-04,1.292948,5.398738
2.39883292e-04,1.252248,5.313046
2.51188643e-04,1.449771,5.233259
2.63026799e-04,1.445929,5.155092
2.75422870e-04,1.383754,5.077305
2.88403150e-04,1.402655,5.001559
3.01995172e-04,1.244972,4.924172
3.16227766e-04,1.230497,4.848126
3.31131121e-04,1.201452,4.773092
3.46736850e-04,1.248435,4.700611
3.63078055e-04,1.546271,4.635782
3.80189396e-04,1.757668,4.576662
3.98107171e-04,1.355210,4.510525
4.16869383e-04,1.177918,4.442143
4.36515832e-04,1.519519,4.382204
4.57088190e-04,1.428374,4.321656
4.78630092e-04,1.284163,4.259424
5.01187234e-04,1.217141,4.197125
5.24807460e-04,1.377661,4.139416
5.49540874e-04,1.231084,4.079916
5.75439937e-04,1.328918,4.023660
6.02559586e-04,1.727467,3.976726
6.30957344e-04,1.262217,3.921266
6.60693448e-04,1.543471,3.872706
6.91830971e-04,1.312709,3.820447
7.24435960e-04,1.284586,3.768703
